C-A10-0;C-C41-2;F-ANZAHL;F-SUMME_1;F-SUMME_2;F-SUMME_5;F-SUMME_6;F-SEIN_SUMME;F-SEIN_GEBUEHREN;F-SEIN_ERTRAG;F-SEIN_SPIELBANK;F-EINWOHNER;F-SCHU_SUMME
A10-2019;10101;1;43803965;43735606;3491550;1347785;12939404;3389158;15922508;0;14464;22698125
A10-2019;10201;1;5868661;6104443;420529;516605;1175971;653038;2248265;0;1913;1416292
A10-2019;10301;1;3963240;3739898;0;0;668368;463359;1558322;0;1934;235990
A10-2019;10302;1;3345500;3222554;405502;513198;493066;396750;1447967;0;1804;1210159
A10-2019;10303;1;2996827;3594454;0;0;598567;321365;1640822;0;2055;638071
A10-2019;10304;1;6093868;5803550;1309425;1275862;1676632;611376;2401404;0;3002;1906563
A10-2019;10305;1;1830383;1893132;63183;0;202737;117361;951649;0;1188;0
A10-2019;10306;1;2381373;2723613;865257;654386;418009;310126;950844;0;1191;1775139
A10-2019;10307;1;3917128;3951035;252769;432307;620874;500327;1896631;0;2261;1307956
A10-2019;10308;1;2927188;3106473;0;0;1098312;227830;1116366;0;1392;2436809
A10-2019;10309;1;6893405;7032227;436343;423630;886984;488395;2723154;0;3417;2088185
A10-2019;10310;1;3374410;3550474;24442;24442;303653;373828;1410744;0;1738;1560509
A10-2019;10311;1;1926893;2010373;142294;176271;248996;260520;996399;0;1248;113649
A10-2019;10312;1;5306416;5590517;599505;490475;699991;578041;2334606;0;2904;2230605
A10-2019;10313;1;4763393;4475169;1902;64083;1203969;258715;2110672;0;2639;1267516
A10-2019;10314;1;2734185;2348683;1326146;1285875;226203;229441;1111337;0;1392;639338
A10-2019;10315;1;5667056;5620532;0;5000;1466475;321608;2246540;0;2948;435224
A10-2019;10316;1;4805520;4854544;509153;595000;855726;565671;2110057;0;2600;565574
A10-2019;10317;1;3239871;3319429;38482;38482;353484;356475;1648921;0;2064;753963
A10-2019;10318;1;3040412;3197237;451365;590497;349591;319860;1222616;0;1550;3182285
A10-2019;10319;1;3211407;3249380;516804;455910;576887;239722;1553466;0;1945;1267806
A10-2019;10320;1;847300;818927;44118;0;62022;139793;376432;0;474;126326
A10-2019;10321;1;1268536;1810734;473651;630000;69015;195403;663845;0;836;718644
A10-2019;10322;1;1274728;1408387;60000;0;108670;125486;750413;0;940;367317
A10-2019;10323;1;1756941;1646185;400000;400000;188399;98350;818297;0;1025;1095118
A10-2019;10401;1;1427023;1407537;0;0;110516;142951;651287;0;816;137070
A10-2019;10402;1;2213872;2215111;2064902;2079657;249956;144638;1089524;0;1356;867360
A10-2019;10403;1;2356375;2341008;326540;59860;166233;157277;733521;0;917;2404582
A10-2019;10404;1;1731621;1676882;0;0;125661;235679;798757;0;1004;907497
A10-2019;10405;1;8284205;8165993;1320182;1498860;2265108;1343271;2917092;0;3642;9925580
A10-2019;10406;1;1471141;1493331;0;0;149865;155943;710537;0;890;832245
A10-2019;10407;1;1470510;1469056;1448;1448;127827;184053;619499;0;764;309878
A10-2019;10408;1;3485344;3376688;316307;192608;286090;382750;1610294;0;2006;3284307
A10-2019;10409;1;1323911;1535352;28313;28313;75428;197800;775031;0;976;468492
A10-2019;10410;1;870266;915197;0;0;36443;148545;375568;0;473;206562
A10-2019;10411;1;2430470;2424377;115601;120309;215438;277872;1167267;0;1457;1087494
A10-2019;10412;1;1507689;1444864;30956;32264;145996;215469;749749;0;936;1260053
A10-2019;10413;1;1787500;1856109;48224;48224;283645;170439;764888;0;958;1122230
A10-2019;10414;1;5917440;6230162;0;0;1796780;834516;2341461;0;2651;838829
A10-2019;10415;1;1972468;2047714;51499;0;125825;207826;1006078;0;1267;215168
A10-2019;10416;1;1999555;2226537;698298;730705;128530;179218;709937;0;894;5217722
A10-2019;10417;1;2385839;2529695;0;0;434403;242471;1105865;0;1385;1361924
A10-2019;10418;1;628884;595360;0;0;21914;67274;281114;0;354;224910
A10-2019;10419;1;840420;799465;35340;45000;35265;50461;402395;0;493;582714
A10-2019;10420;1;550710;561480;67411;67411;31214;63233;194014;0;243;236238
A10-2019;10421;1;1006493;1032485;0;0;48238;85462;265230;0;334;281988
A10-2019;10422;1;568469;562367;0;0;15200;59989;179461;0;226;47066
A10-2019;10423;1;239755;258993;50638;50638;12423;12059;49485;0;62;0
A10-2019;10424;1;390281;334428;0;0;32596;23884;174712;0;220;265293
A10-2019;10425;1;860091;639932;0;0;48837;49475;304068;0;380;80504
A10-2019;10426;1;707091;573301;0;0;46391;67743;274637;0;344;113369
A10-2019;10427;1;1079063;1239348;41000;41000;118212;155997;361947;0;448;825796
A10-2019;10428;1;798027;808246;15423;16247;57777;81483;322558;0;404;1466538
A10-2019;10501;1;2746884;2864782;3370;15572;350803;202367;1378727;0;1729;1431677
A10-2019;10502;1;1799408;1739516;15967;7474;154245;161180;767741;0;960;1442991
A10-2019;10503;1;3620035;3551624;128012;128276;1009825;452062;997002;0;1233;6882262
A10-2019;10504;1;8932977;9552352;1037470;972979;1929487;1747976;3392095;0;4120;11329973
A10-2019;10505;1;1888766;1973796;346583;328865;139954;241288;859123;0;1051;1150779
A10-2019;10506;1;2231716;2143098;93116;117684;164157;289709;913531;0;1166;3129516
A10-2019;10507;1;2284762;2233323;0;0;122028;301370;741197;0;930;1017213
A10-2019;10508;1;4187783;4440863;346377;258206;970477;265066;1739965;0;2177;1283174
A10-2019;10509;1;3606878;3466651;57739;0;323250;420229;1572335;0;1962;737892
A10-2019;10510;1;1371836;1354987;0;0;92391;148868;578894;0;729;655997
A10-2019;10511;1;1299969;1500695;447443;758732;125204;138522;576936;0;725;996527
A10-2019;10512;1;869045;805383;0;0;26979;56239;314077;0;395;1061235
A10-2019;10601;1;2172817;2222333;0;0;264147;83551;942860;0;1181;196635
A10-2019;10602;1;5401308;5267263;1080142;1080142;663516;363837;2247450;0;2815;4228396
A10-2019;10603;1;1837802;1848865;0;0;439311;119555;801562;0;1002;406300
A10-2019;10604;1;2720650;2948196;1660;1660;219367;185491;1949620;0;1221;0
A10-2019;10605;1;3336576;3588816;925408;731312;778635;344728;1678897;0;2089;2535095
A10-2019;10606;1;15461241;15122178;592097;348867;3479647;1313731;5862942;0;7325;6312081
A10-2019;10607;1;9631106;9710977;259470;233606;2449758;776547;3642231;0;4543;3879883
A10-2019;10608;1;1954522;1843565;0;0;770548;109964;586517;0;732;924821
A10-2019;10609;1;5210316;5438322;0;0;785761;456795;2360212;0;2956;1448985
A10-2019;10610;1;4074797;4567206;2318320;2214384;950017;383064;2114854;0;2701;1979293
A10-2019;10611;1;4695933;4733776;11900;11900;1076657;474924;1736448;0;2203;981593
A10-2019;10612;1;3615608;3660633;56926;71577;372709;283013;1884470;0;2372;362534
A10-2019;10613;1;1854252;2046631;63083;63083;300081;203954;998900;0;1251;773000
A10-2019;10614;1;1723156;1888601;55047;37193;299430;107795;942951;0;1181;184591
A10-2019;10615;1;4047498;4060332;7479;5494;463068;348492;2137652;0;2692;0
A10-2019;10616;1;1248399;1313472;178273;100321;233927;109138;606835;0;760;480487
A10-2019;10617;1;1420419;1493505;124097;124097;159555;128249;712381;0;896;320140
A10-2019;10618;1;2477018;2257016;347735;345234;281757;180711;1012476;0;1268;848620
A10-2019;10619;1;1176999;1056340;0;0;63888;63774;513340;0;643;571356
A10-2019;10701;1;4393698;4524336;217301;217301;849280;225703;1830086;0;2285;1798990
A10-2019;10702;1;3127047;2954621;0;0;447923;438625;1427232;0;1769;2029598
A10-2019;10703;1;5050677;5176568;0;0;591800;472478;2394474;0;3005;651896
A10-2019;10704;1;1426659;1317410;47630;47630;92198;119402;487799;0;611;154662
A10-2019;10705;1;6084047;6796134;231470;368425;1386228;713370;2398098;0;2862;3207500
A10-2019;10706;1;2215147;2127256;99229;59025;204194;252694;1059424;0;1327;1139563
A10-2019;10707;1;7913284;8241622;528106;412358;1515995;969159;3088148;0;3833;5636976
A10-2019;10708;1;3619844;3631642;67650;86978;460758;215103;1513961;0;1894;4393623
A10-2019;10709;1;4547749;4903574;391609;391609;865022;567745;2032418;0;2382;794287
A10-2019;10710;1;3671026;3737815;0;0;625179;474066;1317315;0;1611;2388540
A10-2019;10711;1;7339216;6910076;3231395;3095709;1131693;753888;2513536;0;3146;5456409
A10-2019;10712;1;4125279;4144453;5670;2835;604060;518310;1811823;0;2234;1896373
A10-2019;10713;1;19462928;18383998;472864;377892;4081578;2636696;6601752;0;8190;12343000
A10-2019;10714;1;3733643;3957436;98732;98732;410990;408096;1414018;0;1767;1997799
A10-2019;10715;1;2195850;2334795;82251;82251;311222;219001;965164;0;1209;958387
A10-2019;10716;1;2980050;3163204;678509;796950;714314;320106;1383630;0;1634;1829880
A10-2019;10717;1;11652085;12182980;642345;948360;4864854;737906;3792802;0;4680;8257029
A10-2019;10718;1;5624242;6215559;1860730;1676535;1307326;786943;2110961;0;2158;3798028
A10-2019;10719;1;3909672;3842883;1173867;1456607;594855;203463;1163126;0;1375;2704518
A10-2019;10720;1;2112370;2224121;69531;52031;272087;203148;944548;0;1183;633164
A10-2019;10721;1;3293671;3177168;152501;151661;698090;270607;1362419;0;1700;861629
A10-2019;10722;1;4791954;5226438;382145;150260;1017283;489428;1960994;0;2419;2009809
A10-2019;10723;1;2165111;2460077;48748;48748;171069;356949;1046801;0;1316;1064044
A10-2019;10724;1;4808474;4866451;119106;986351;412780;418800;1798212;0;2244;819537
A10-2019;10725;1;1915036;1730913;559757;558060;259570;166643;578016;0;724;799165
A10-2019;10726;1;1095415;1091518;22058;22058;165161;129135;475903;0;596;644160
A10-2019;10727;1;3728710;3773640;86125;0;1923203;412108;591651;0;738;1798460
A10-2019;10801;1;5084438;5214977;328812;114969;776335;578685;2464840;0;3080;251072
A10-2019;10802;1;2261765;2068550;464641;464641;299577;224537;1113845;0;1395;3275841
A10-2019;10803;1;1677799;1888796;125859;104140;156246;223217;890494;0;1115;865323
A10-2019;10804;1;2584816;2509661;0;676;215889;252143;1111432;0;1392;483581
A10-2019;10805;1;4398466;4093926;146992;331333;632788;295076;1493105;0;1868;131740
A10-2019;10806;1;999530;876553;351182;351182;59640;101888;495827;0;621;127290
A10-2019;10807;1;3509909;3554379;495296;491665;355468;263019;1507384;0;1888;1547409
A10-2019;10808;1;3136243;3076569;122704;163425;325813;180192;936091;0;1174;0
A10-2019;10809;1;4044355;3998452;408962;118362;946763;477006;1654367;0;2060;4258995
A10-2019;10810;1;2492490;2370662;531534;501153;560504;310890;917189;0;864;872293
A10-2019;10811;1;2914504;2921912;634298;606776;208826;303007;1435253;0;1805;1772423
A10-2019;10812;1;1934785;2128386;280373;280373;392201;155264;953603;0;1192;1116434
A10-2019;10813;1;2974438;3083755;1241497;737659;456088;352172;1339508;0;1673;1277282
A10-2019;10814;1;3264772;3437533;2337757;2337757;1305889;298042;897428;0;1098;3301664
A10-2019;10815;1;2118166;2248377;0;294766;218028;205394;1115271;0;1397;2601011
A10-2019;10816;1;7733725;7175649;1231583;1231584;2312107;1110300;2568571;0;3202;2554125
A10-2019;10817;1;2930969;2833505;74648;62300;385595;427933;1305608;0;1661;1996528
A10-2019;10818;1;1388443;1462616;85;5021;128735;165688;676523;0;852;483059
A10-2019;10819;1;1554066;1602455;1206378;1125908;228234;182085;692160;0;867;1799376
A10-2019;10820;1;1531796;1644683;214961;166876;152552;130724;714569;0;895;620375
A10-2019;10821;1;2298727;2257365;475743;698859;401749;254026;1034982;0;1295;4419292
A10-2019;10822;1;3054196;3061272;63123;60912;901258;277676;1104454;0;1383;1593211
A10-2019;10823;1;3077277;2937655;1331668;1120498;547010;302965;1443658;0;1818;1509568
A10-2019;10824;1;1031728;1004965;106658;131923;127012;99009;478229;0;599;468780
A10-2019;10825;1;1008551;1065482;293718;123877;125841;96626;550882;0;690;980000
A10-2019;10826;1;1100596;1206120;249060;226800;163513;121677;518166;0;649;926716
A10-2019;10827;1;814059;709642;0;0;54498;119535;287433;0;360;17267
A10-2019;10828;1;1275510;1235952;248269;443566;84429;136311;645805;0;810;877478
A10-2019;10901;1;5723631;5922305;372949;450000;2259517;777801;1742839;0;1564;897850
A10-2019;10902;1;3958783;3897663;204390;204390;414674;584771;1685437;0;2121;680250
A10-2019;10903;1;2061505;1972280;1111377;1111126;207202;236017;902696;0;1129;1811918
A10-2019;10904;1;2282820;2472965;18300;18225;537337;282891;976421;0;1223;289511
A10-2019;10905;1;7544897;7439822;1043506;1034199;1698398;1053664;2842655;0;3545;5520082
A10-2019;10906;1;1614982;1569260;11274;11274;255269;179661;608315;0;761;889886
A10-2019;10907;1;2536206;2495598;224266;190004;365010;324012;1192740;0;1494;4109860
A10-2019;10908;1;2823121;3006401;468711;437958;262676;421694;1160210;0;1460;2404741
A10-2019;10909;1;1939350;1886364;194797;473243;207424;183392;941292;0;1179;963007
A10-2019;10910;1;2124241;2150254;135708;112920;438620;142982;1097112;0;1318;62650
A10-2019;10911;1;1997813;1989893;344579;344297;179539;251783;905213;0;1140;1076678
A10-2019;10912;1;3716387;3722079;113769;113769;711972;323062;1484400;0;1858;894728
A10-2019;10913;1;1327684;1199463;124842;10681;87936;193224;525688;0;662;780969
A10-2019;10914;1;2447401;2344820;47013;23060;158069;232814;1262542;0;1590;116149
A10-2019;10915;1;1447969;1585884;10000;11607;89778;178740;790889;0;996;254880
A10-2019;10916;1;4994480;5377779;833948;697636;492524;711370;1925313;0;2423;4174604
A10-2019;10917;1;18707240;18671633;0;286545;5700882;1983601;6042987;0;7564;11833931
A10-2019;10918;1;11216029;11981590;4726400;2968940;2669988;1821199;4613941;0;5761;5392053
A10-2019;10919;1;4336865;4742161;0;20000;753101;565801;2425228;0;3052;871207
A10-2019;10920;1;2885910;2720729;44322;44322;317300;354282;1298214;0;1626;0
A10-2019;10921;1;2264955;2326864;121929;104932;345980;110017;1151286;0;1442;744620
A10-2019;10922;1;1404215;1351613;200002;165002;85576;132921;620342;0;777;538693
A10-2019;10923;1;3185198;3344269;1191957;1123501;273649;339013;1568738;0;1967;4649156
A10-2019;10924;1;1911633;2093919;11121;11121;356040;203802;820776;0;1028;1311478
A10-2019;10925;1;2018590;2000512;42729;29380;614854;94535;793458;0;975;215259
A10-2019;10926;1;1629097;1613914;0;0;101643;126569;660268;0;827;909148
A10-2019;10927;1;1990867;2064055;1175;1175;144055;209007;913964;0;1151;1625008
A10-2019;10928;1;2287828;2352552;262146;324904;346131;170378;1148945;0;1439;1203575
A10-2019;10929;1;1341306;1312013;17621;6367;138588;66680;636609;0;799;413214
A10-2019;10930;1;1058305;1114114;0;0;54578;101576;581296;0;732;151800
A10-2019;10931;1;528976;580169;54032;4388;47711;39569;228282;0;287;77038
A10-2019;10932;1;572935;594507;269841;300000;21486;38137;219292;0;275;739064
A10-2019;20101;1;324115501;324115500;95283589;159423515;66864866;39627359;131818894;0;100281;75943846
A10-2019;20201;1;205613629;205613628;77591491;77591491;44637662;17579292;81282894;0;61835;59958626
A10-2019;20302;1;2404362;2414864;866983;1037327;257435;226952;1057211;0;1228;567407
A10-2019;20305;1;20640401;20591314;2433602;2166446;5095012;2866713;6757461;0;6839;5184694
A10-2019;20306;1;5035531;4973407;940559;3124060;540864;574341;2235629;0;2613;2292713
A10-2019;20307;1;7248188;7534508;706260;784431;1346202;1258598;2914598;0;3356;469859
A10-2019;20316;1;3889262;3932033;183900;222757;183024;466194;1351341;0;1591;6012350
A10-2019;20320;1;3088278;3101173;538506;385635;568932;407557;1169359;0;1265;972367
A10-2019;20321;1;2817810;2828444;2001323;1952686;752010;87296;1203534;0;1321;1127129
A10-2019;20402;1;13683755;14010947;534221;368653;1630313;1934347;6551788;0;7840;7420719
A10-2019;20403;1;4998194;4942833;583006;626207;938117;639198;2112244;0;2494;2410983
A10-2019;20405;1;15086702;16458083;1467861;1734861;3161698;3032047;6008087;0;7165;12259857
A10-2019;20409;1;5984079;6247811;367443;388706;934873;935839;2413588;0;2889;5060367
A10-2019;20412;1;9064679;9611207;428844;1025388;1087654;927708;2327582;0;2444;3305151
A10-2019;20414;1;5063354;5427303;915155;1219868;613353;590022;2499037;0;2987;832002
A10-2019;20415;1;8652178;9390382;1137195;1307416;1659583;1754094;3052243;0;3519;140608
A10-2019;20416;1;3867031;4001675;765608;152600;325504;398027;1497435;0;1787;6458774
A10-2019;20417;1;4394159;4596040;1103116;963187;661383;893178;2155562;0;2579;3204002
A10-2019;20418;1;8512105;8860962;293149;218654;1268635;1580419;3209126;0;3839;6110272
A10-2019;20419;1;6205099;6199763;825235;903300;1782105;917203;1463165;0;1618;1306061
A10-2019;20421;1;7979335;8116053;2538181;2361077;1055382;1534144;3758021;0;4471;6307808
A10-2019;20424;1;8275180;8425523;137303;230397;2317516;1452876;2579567;0;2740;777011
A10-2019;20425;1;6222558;6462898;337313;488192;1104309;1110503;2669697;0;3194;4876266
A10-2019;20428;1;2599983;2614981;277318;436078;166231;287463;955005;0;1097;0
A10-2019;20432;1;5004346;5616523;1131118;999384;941982;763148;2284392;0;2632;410636
A10-2019;20435;1;5379951;5616981;1055581;707875;971777;1023744;1892003;0;2188;15691146
A10-2019;20441;1;1287594;1292650;1547379;1518431;50559;25759;510359;0;611;1854947
A10-2019;20442;1;8021117;7828966;623460;1104292;865598;1056157;2875329;0;3437;6449013
A10-2019;20501;1;13792142;14045346;4762173;4036223;5577444;1473845;4189294;0;4724;4781525
A10-2019;20502;1;5297673;5137275;529500;476235;774055;710511;2279533;0;2728;1693507
A10-2019;20503;1;1589299;1604420;1024734;1030575;150049;101878;764318;0;908;214218
A10-2019;20504;1;2703380;2732726;294747;368418;296425;304156;1085226;0;1284;46973
A10-2019;20505;1;9602646;9329330;1015332;1284490;1499462;1303375;4158415;0;4961;3075950
A10-2019;20506;1;2249660;2222824;339247;537888;277753;202833;682816;0;808;891026
A10-2019;20508;1;2709234;2714596;309931;347566;211870;275577;1031420;0;1228;1460894
A10-2019;20509;1;3049306;2883260;1002373;1358023;356410;314135;1233718;0;1471;1346813
A10-2019;20511;1;3656877;3616549;615525;641399;233468;370728;1204295;0;1429;1328484
A10-2019;20512;1;3430659;3435477;415029;391220;305581;404210;1638161;0;1961;2650982
A10-2019;20513;1;3785596;3729832;609853;672960;622727;419038;1529167;0;1824;415379
A10-2019;20515;1;7477248;7433980;1248359;1170543;863271;691272;2788197;0;3322;2326171
A10-2019;20518;1;3401892;3364003;681278;792169;223546;275411;1676934;0;2010;1174067
A10-2019;20519;1;2400870;2296463;152514;169881;378109;223865;865849;0;1010;117114
A10-2019;20520;1;2212041;2257565;458186;527979;418347;146102;1109798;0;1327;408835
A10-2019;20523;1;5969469;6039522;1798815;1588979;1048765;686235;3092018;0;3649;794678
A10-2019;20527;1;42637587;42824793;5845058;5320476;7638393;4759758;11891499;0;12489;39794498
A10-2019;20530;1;4094868;3999477;503461;487474;507390;498758;1748995;0;2100;2965944
A10-2019;20531;1;4321922;4293154;646799;782772;378002;332474;1739137;0;2091;4596172
A10-2019;20534;1;6114358;6143623;1898328;1709660;637315;773355;3020090;0;3607;2187219
A10-2019;20601;1;8726161;9374173;1585335;1342500;3563473;1528167;2095063;0;1724;609019
A10-2019;20602;1;3093535;3014738;169124;125044;196397;570865;1566393;0;1869;1128047
A10-2019;20603;1;2773257;2736515;86179;307935;308859;311983;1142674;0;1284;3934512
A10-2019;20604;1;3392923;3477193;389586;544649;571457;376219;1383992;0;1599;5281078
A10-2019;20605;1;2547191;2871242;441747;744128;273825;252811;1158845;0;1349;2544636
A10-2019;20607;1;4730795;4381262;1626324;1542743;605133;380612;1135858;0;1201;1392486
A10-2019;20608;1;5652221;5694644;295921;252716;802013;621242;2169274;0;2561;7154350
A10-2019;20609;1;4261892;3878909;266047;252644;596652;344202;1483303;0;1734;5752879
A10-2019;20610;1;4341292;4476303;2539244;1691583;837257;424040;1078039;0;1020;1730292
A10-2019;20611;1;3238076;3233061;1292205;1383313;333907;316039;1692583;0;2017;3258825
A10-2019;20613;1;2025331;1912682;918814;971603;120673;192890;982562;0;1176;1846929
A10-2019;20616;1;2998231;3241699;548989;849342;486623;348393;1465572;0;1723;2347896
A10-2019;20618;1;2754984;2804705;764104;724158;444255;316944;778243;0;787;1119896
A10-2019;20619;1;4434775;4465737;818530;943641;491491;377064;1734999;0;1998;2376661
