C-A10-0;C-C41-2;F-ANZAHL;F-SUMME_1;F-SUMME_2;F-SUMME_5;F-SUMME_6;F-SEIN_SUMME;F-SEIN_GEBUEHREN;F-SEIN_ERTRAG;F-SEIN_SPIELBANK;F-EINWOHNER;F-SCHU_SUMME
A10-2000;10101;1;19614381;19840337;868156;1375952;8032867;964234;6951846;0;10349;16908110
A10-2000;10201;1;2722582;2954499;93083;215428;530492;275955;1180039;0;1696;3118787
A10-2000;10301;1;2868668;2776506;74819;104799;781367;203676;703259;0;1570;3186971
A10-2000;10302;1;1655010;1614138;599650;601399;263860;211164;701125;0;1556;1829208
A10-2000;10303;1;1617424;1633937;11430;11430;284720;123799;763246;0;1678;1185021
A10-2000;10304;1;2872232;2879286;171618;116414;858690;234747;1155032;0;2593;3574685
A10-2000;10305;1;1331124;1242389;0;0;133457;95134;523410;0;1130;626875
A10-2000;10306;1;1120402;1130015;203509;203064;203576;160344;479205;0;1043;457644
A10-2000;10307;1;3368693;3420774;268836;268836;1465258;343170;1083017;0;2279;854983
A10-2000;10308;1;1779878;1444430;709833;659186;470693;119948;537642;0;1224;2595921
A10-2000;10309;1;5255060;4463423;1205657;3033545;931735;358424;1205711;0;2642;5770793
A10-2000;10310;1;1796388;1876923;344768;211033;188546;279326;871032;0;1876;1470607
A10-2000;10311;1;1204688;1237004;363359;285988;113895;197784;549206;0;1190;896769
A10-2000;10312;1;2573506;2647921;80002;82879;500802;590835;1073869;0;2348;4560806
A10-2000;10313;1;2130659;2584386;228742;180272;819723;216680;1197418;0;2608;965616
A10-2000;10314;1;1225981;1278322;344589;388907;164649;224397;621752;0;1347;708226
A10-2000;10315;1;2552056;2607311;21560;21560;523485;286043;1116104;0;2446;2062013
A10-2000;10316;1;2562048;2431629;0;0;361800;337468;711659;0;1584;2696940
A10-2000;10317;1;1834190;1821070;0;0;244895;232943;750089;0;1647;2196031
A10-2000;10318;1;1040103;1116240;13021;0;190196;143229;404453;0;883;2826206
A10-2000;10319;1;1709283;1792711;1179670;1186236;398393;132256;845817;0;1865;1970763
A10-2000;10320;1;477664;489298;102266;71437;61184;90992;148477;0;326;1645936
A10-2000;10321;1;886878;842609;4169;1330;43758;98806;335647;0;725;703844
A10-2000;10322;1;901772;876214;194346;329139;109156;87132;280648;0;615;863825
A10-2000;10323;1;777032;834205;139482;159953;79594;80818;422093;0;921;1488743
A10-2000;10401;1;935868;750876;219220;214503;71242;85331;377498;0;815;573028
A10-2000;10402;1;1304306;1201644;145967;92317;158194;82167;579469;0;1253;2248741
A10-2000;10403;1;1744878;1737293;1301420;1500287;179579;90269;472288;0;1024;3593233
A10-2000;10404;1;1073176;1032262;0;0;135126;125786;504747;0;1093;1766286
A10-2000;10405;1;4647975;4816883;562880;410902;1445336;694050;1777109;0;3945;6758020
A10-2000;10406;1;896018;949475;0;0;67452;94328;517446;0;1111;811642
A10-2000;10407;1;1175019;1188944;858035;837077;350549;61228;505932;0;1087;1071314
A10-2000;10408;1;2087659;1804041;643269;707162;219800;131801;966860;0;2080;5061106
A10-2000;10409;1;1323668;1387851;521731;448971;182242;67140;550507;0;1178;1225433
A10-2000;10410;1;592355;601441;0;-40978;21929;62435;286793;0;614;1019497
A10-2000;10411;1;1003297;1181408;144784;0;79520;111953;715761;0;1534;1127519
A10-2000;10412;1;846764;843387;208529;203544;93107;107990;443225;0;957;1627949
A10-2000;10413;1;1851842;1867268;14258;14258;276683;94824;559333;0;1240;962666
A10-2000;10414;1;3137462;2934303;289574;392554;772727;363871;1046448;0;2316;4820964
A10-2000;10415;1;1077496;1132498;157232;40654;82503;119879;689582;0;1480;997773
A10-2000;10416;1;1033598;1022607;103011;103011;191726;89041;439831;0;950;1506102
A10-2000;10417;1;1798704;1635490;154721;154721;279270;64529;669762;0;1447;2408354
A10-2000;10418;1;384327;373481;0;0;8962;24520;188556;0;402;1047544
A10-2000;10419;1;424155;423744;90765;90765;46361;21090;215881;0;457;915492
A10-2000;10420;1;312771;332667;78055;28878;18134;33188;142803;0;303;811932
A10-2000;10421;1;369893;409689;35309;24414;19618;46911;172647;0;369;1064647
A10-2000;10422;1;326800;323554;0;26390;6904;23162;119860;0;258;520413
A10-2000;10423;1;159900;154968;0;0;8541;7484;36222;0;78;130634
A10-2000;10424;1;417325;278877;28337;8313;13871;19014;117937;0;251;250827
A10-2000;10425;1;742563;613753;27262;18895;35716;28092;178800;0;378;326905
A10-2000;10426;1;473370;444150;0;0;24873;10303;175269;0;380;96924
A10-2000;10427;1;642029;646783;22812;22812;38187;42230;245264;0;524;865720
A10-2000;10428;1;418889;421723;102159;102159;27507;11780;214730;0;453;218006
A10-2000;10501;1;1538253;1429736;55280;55280;108900;121261;849951;0;1836;1857728
A10-2000;10502;1;1072367;1028313;3354081;3395639;242691;50386;448800;0;977;3296517
A10-2000;10503;1;1438941;1596832;881982;1087324;382300;83739;639168;0;1420;1133411
A10-2000;10504;1;6182341;6024153;2576724;2913918;1161386;697719;1822937;0;4053;10288147
A10-2000;10505;1;1260702;1281837;589785;589785;332904;162982;512129;0;1103;2325296
A10-2000;10506;1;1193645;1139742;15503;4848;98823;82910;589410;0;1264;1375751
A10-2000;10507;1;1163603;1328839;1781448;1922142;74516;127729;543790;0;1163;5841741
A10-2000;10508;1;2192980;2233917;747242;663941;673293;155824;864158;0;1938;3347047
A10-2000;10509;1;1973896;2055687;1229292;957557;360218;201050;1050108;0;2189;2932461
A10-2000;10510;1;946951;901305;171726;171726;81919;59022;412898;0;884;2706195
A10-2000;10511;1;1029934;1046737;26079;11681;145013;70694;362734;0;781;1912154
A10-2000;10512;1;777453;578022;49611;67368;16634;23319;205569;0;437;1288415
A10-2000;10601;1;1128046;1083369;113560;133064;100138;71982;517024;0;1119;856500
A10-2000;10602;1;2975999;2720439;772456;823770;326637;392456;1225302;0;2678;2175137
A10-2000;10603;1;1090917;1118653;411395;411396;362937;94061;373813;0;843;1262770
A10-2000;10604;1;1151720;1159646;0;0;127392;92404;528881;0;1158;1248703
A10-2000;10605;1;1863541;1657832;469039;428706;324554;257796;846904;0;1889;1325382
A10-2000;10606;1;8114167;7920596;1775854;1973684;2094178;769262;2587524;0;5776;4830607
A10-2000;10607;1;5650039;5614322;998150;982407;1750700;288836;1480013;0;3324;11290001
A10-2000;10608;1;808713;831938;72032;48225;264354;65765;262076;0;587;431300
A10-2000;10609;1;2578671;2553244;449371;558428;502359;412017;1053989;0;2316;4596306
A10-2000;10610;1;2372040;2393036;619510;632215;377826;317987;1229078;0;2669;4648181
A10-2000;10611;1;2149876;2172447;61214;61213;368985;242973;773625;0;1715;1120287
A10-2000;10612;1;1939926;2156942;179633;179633;168365;321326;1165160;0;2509;2386104
A10-2000;10613;1;1048246;1201886;131191;5081;175498;153529;637062;0;1393;317998
A10-2000;10614;1;841467;886738;323182;329909;74636;85905;488103;0;1052;727825
A10-2000;10615;1;2754913;2524277;1747;3787;322095;322738;1243435;0;2692;1690657
A10-2000;10616;1;778429;765991;39982;33880;84758;131487;319369;0;700;1721929
A10-2000;10617;1;799376;790303;124860;101285;75286;110487;409434;0;880;941115
A10-2000;10618;1;1030452;1078554;87925;19989;161952;120234;554938;0;1223;453953
A10-2000;10619;1;704422;792632;475290;316328;58661;53275;253640;0;552;161465
A10-2000;10701;1;2295349;2542657;110979;92028;373005;122181;1197728;0;2624;2451691
A10-2000;10702;1;1730057;1848922;478734;478734;251045;319546;881204;0;1921;3851264
A10-2000;10703;1;2301662;2219493;655151;513352;410088;267171;891950;0;1947;2204576
A10-2000;10704;1;844879;911957;0;0;65381;115652;291449;0;643;1495650
A10-2000;10705;1;3418094;3343472;1872009;4318438;853201;350760;1189818;0;2634;10463582
A10-2000;10706;1;1205791;1220996;0;0;165548;157173;470448;0;1045;2949683
A10-2000;10707;1;4515949;4266512;880146;819271;701395;406635;1546767;0;3429;5865082
A10-2000;10708;1;1940753;1872766;985302;766557;259716;138634;837202;0;1856;7453625
A10-2000;10709;1;2880429;2930759;1391961;1148098;470987;452476;1158164;0;2517;4946444
A10-2000;10710;1;2039787;1945096;3062;340966;304498;240733;584709;0;1277;4047405
A10-2000;10711;1;2428209;2411788;122218;43052;323994;277603;892703;0;1961;3613970
A10-2000;10712;1;1952433;1905982;1210992;1438053;354366;164215;984648;0;2182;2199807
A10-2000;10713;1;7880429;8213329;1419778;2336584;2746794;885169;2142786;0;4675;21887271
A10-2000;10714;1;2020324;1923460;63814;32755;240604;234824;742780;0;1630;3860073
A10-2000;10715;1;955057;1030697;53633;90017;145471;137012;444976;0;977;2042023
A10-2000;10716;1;1794126;1842346;0;45445;422181;233638;825116;0;1795;3413866
